uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A498PZZ1	0.4473684210526316	7;8;9;10;13;14;16;17;18;19;20;22;24;26;30;33;34	38	2.74363228559494	1.1953970462199106	0.78	2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;38;40;41;42;44;45;47;48;49;50;51;52;53;54;57;58;60;61;62;64;68;69;70;72;74;75;76;78;79;80;81;83;84;86;87;88;89;90;92;93;95;96;97;98;99;100
A0A4R1FSR2	0.4117647058823529	1;3;5;6;7;8;11;14;22;29;30;34;36;37;39;40;42;43;44;46;48	51	2.5477631998062136	1.4596989494411343	0.63	1;2;7;8;10;11;13;14;15;17;18;19;21;22;24;25;26;27;28;30;31;33;34;35;37;39;40;41;42;45;50;51;52;54;55;56;57;58;60;61;63;64;65;66;68;72;73;76;77;79;80;81;82;84;85;87;89;90;91;92;94;96;97
A0A4Z0HRY8	0.3076923076923077	8;14;16;19;24;25;27;28;30;33;35;36	39	2.6405264246463775	1.1791608968918013	0.91	1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31;32;33;34;35;36;37;39;40;41;42;43;44;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;88;89;90;91;92;93;94;95;96;97;98;99
A0A5B1BH70	0.2962962962962963	4;11;13;18;20;22;27;29;32;38;39;40;41;45;53;54	54	2.339007682800293	1.406520949285227	0.66	1;2;3;4;6;7;8;9;11;12;13;14;16;17;18;19;23;24;25;26;27;28;29;30;31;32;33;34;35;39;40;41;42;43;44;45;47;48;49;50;55;57;58;59;60;61;62;64;65;67;70;71;73;75;76;78;82;83;84;85;86;90;92;93;98;99
A0A5N5VEC4	0.30952380952380953	3;6;10;11;21;26;28;29;31;35;38;40;41	42	2.4568245327472686	0.996202311993659	0.55	1;2;4;6;14;16;17;18;22;23;24;33;34;35;36;38;39;40;41;42;46;47;48;52;53;55;59;62;63;64;65;67;68;69;70;71;72;74;75;76;78;80;83;84;86;88;90;91;92;93;94;96;97;99;100
A0A6G3SLA6	0.391304347826087	2;4;10;14;15;18;19;21;22;26;29;31;33;36;39;40;43;45	46	2.511850723028183	1.142363182801556	0.76	1;2;3;4;6;7;8;9;11;13;16;17;18;19;20;21;22;24;25;26;27;29;31;33;34;35;36;37;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;56;59;61;62;63;64;65;66;67;68;69;75;76;77;78;80;81;82;83;84;85;86;88;89;90;91;94;95;97;98;99;100
A0A6G9XT36	0.32727272727272727	1;11;12;14;16;18;27;29;34;35;38;42;44;45;46;50;52;55	55	2.2201608633995056	1.274030142214528	0.85	1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;24;25;26;27;28;29;30;32;33;34;35;36;37;38;39;40;43;44;45;46;47;48;49;51;52;53;56;57;58;59;60;61;62;63;64;65;66;67;69;70;71;72;73;74;75;76;77;78;79;80;82;83;84;85;86;88;89;90;92;93;96;97;98;100
A0A7I7LJC3	0.2830188679245283	3;7;8;9;11;21;24;25;28;29;30;41;42;45;51	53	2.311818323135376	1.2453103844738307	0.5	3;5;7;8;9;10;11;12;15;16;19;21;23;24;25;28;30;32;35;36;37;40;41;42;43;44;45;47;52;53;54;56;59;64;65;66;68;69;72;75;79;80;85;86;87;89;90;95;98;100
A0A7I7Q331	0.4	1;2;4;5;6;12;15;16;18;19;28;29;33;34;35;41;43;45	45	2.472530974149704	1.1867319637178444	0.85	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;30;31;32;33;34;36;38;39;41;43;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;73;74;75;76;77;78;81;82;83;84;85;86;87;88;90;91;92;94;95;96;99;100
A0A7I7UBW3	0.4666666666666667	1;3;6;7;8;10;12;14;21;22;24;26;27;32;34;37;39;40;41;43;44	45	2.639831848144531	1.3180362247031832	0.68	1;3;5;6;7;8;9;12;13;14;15;16;17;19;20;21;22;23;24;27;28;29;30;31;34;35;36;38;39;41;42;43;45;46;47;48;49;50;51;54;55;56;57;59;60;61;62;63;69;71;73;75;76;77;78;79;80;81;85;87;88;90;91;94;96;97;99;100
